,num_protons,num_electrons,num_photons,reco_KE_protons,true_KE_protons,true_Einit_protons,reco_E_electrons,true_E_electrons,true_Einit_electrons,electron_is_contained,true_nu_energy,true_nu_interaction_type,true_topology,true_reco_E,true_Einit_sum,reco_reco_E
0,2,1,0,415.41349234512836,417.0674888509011,425.44560785203316,267.4715612301878,267.4715612301878,272.1339884171484,True,0.925244688987732,ResCCNuProtonPiPlus,1e1pi2p,684.5390500810888,697.5795962691816,682.8850535753161
1,1,1,0,73.41971820312502,32.67065496421018,38.86676489771651,14.692307592998565,14.692307592998565,858.1403518851106,True,0.925244688987732,CCQE,1e1p,47.362962557208746,897.0071167828271,88.11202579612358
2,1,1,0,113.79272560910132,113.79272560910132,117.66139122146626,683.3460976417699,684.5437466979962,739.8429947441239,True,1.1135964393615725,CCQE,1e1p,798.3364723070976,857.5043859655901,797.1388232508713
3,2,1,4,209.9266625225531,114.3068718330324,467.2016838440194,282.3437961176832,266.4615341931815,245.3655985848208,False,1.7520607709884644,CCDIS,4g1e2pi2p,380.7684060262139,712.5672824288401,492.2704586402363
4,2,1,0,141.6822546483287,144.29376314078831,234.3213516143377,1237.7339309354304,1235.9274527766504,964.4620060249646,False,1.2331383228302002,CCQE,1e2p,1380.2212159174387,1198.7833576393023,1379.4161855837592
5,0,1,0,0.0,0.0,0.0,2009.8959758809453,1995.6181432096726,2141.7174317476683,True,3.0143635272979736,ResCCNuNeutronPiPlus,1e1pi,1995.6181432096726,2141.7174317476683,2009.8959758809453
6,6,1,0,477.2668278892085,451.5785822312548,503.3335695937708,457.2169788782452,450.98507146164314,507.3113569898072,False,1.1504302024841309,ResCCNuProtonPiPlus,1e6p,902.563653692898,1010.644926583578,934.4838067674536
7,1,1,0,60.73023665513083,60.73023665513083,61.29972138135554,747.2640912953855,744.2971549984085,595.706147410328,False,0.7609407901763916,CCQE,1e1p,805.0273916535393,657.0058687916835,807.9943279505163
8,1,1,2,111.60464276475062,111.60464276475062,110.4612488629981,468.9772836362907,472.45042965088874,365.96674384947113,True,0.8772541284561157,CCDIS,2g1e1p,584.0550724156394,476.42799271246923,580.5819264010413
9,8,1,0,415.48616116465973,474.96002222985686,584.4120799629179,1017.4322592928245,975.632204819957,949.5545273101654,False,2.974554538726806,CCDIS,1e1pi8p,1450.5922270498138,1533.9666072730834,1432.9184204574842
10,1,1,0,260.83866078418873,260.83866078418873,268.1054742215971,912.8509628129291,919.5130669304783,837.0541198190832,True,1.1334742307662964,CCQE,1e1p,1180.351727714667,1105.1595940406803,1173.6896235971178
11,1,1,0,80.7364757189392,80.7364757189392,79.70863112612358,642.2694898960261,643.9912191597257,591.5635953735579,True,1.1501208543777466,ResCCNuNeutronPiPlus,1e1p,724.7276948786649,671.2722264996814,723.0059656149654
12,1,1,2,177.0248134516414,187.37335000080287,218.92289612950492,1392.8608023845457,1378.2535437258946,1394.2522051240014,True,2.9249160289764404,CCDIS,2g1e1pi1p,1565.6268937266975,1613.1751012535065,1569.885615836187
13,1,1,0,108.64431708787976,110.4217687192207,116.5410197848679,55.13323179254462,55.45390377728752,64.41275905128404,True,0.3909418880939483,ResCCNuProtonPiPlus,1e1p,165.87567249650823,180.95377883615194,163.77754888042438
